#Michael Murillo MLM data, Jan 30, 2024
T[eV] 			  σe[S/cm]
2.887587260000000142e-02 1.064852280000000028e+06
3.024140789999999954e-02 1.016666349999999977e+06
3.167151919999999787e-02 9.706567580000000307e+05
3.316926030000000303e-02 9.267252480000000214e+05
3.473782920000000052e-02 8.847779969999999739e+05
3.638057549999999807e-02 8.447254229999999516e+05
3.810100710000000057e-02 8.064819880000000121e+05
3.990279749999999653e-02 7.699660150000000140e+05
4.178979439999999657e-02 7.350995169999999925e+05
4.376602699999999901e-02 7.018080289999999804e+05
4.583571530000000310e-02 6.700204479999999749e+05
4.800327890000000153e-02 6.396688810000000522e+05
5.027334619999999921e-02 6.106885030000000261e+05
5.265076459999999681e-02 5.830174150000000373e+05
5.514061070000000203e-02 5.565965139999999665e+05
5.774820130000000301e-02 5.313693649999999907e+05
6.047910439999999721e-02 5.072820829999999842e+05
6.333915140000000166e-02 4.842832150000000256e+05
6.633444970000000607e-02 4.623236350000000093e+05
6.947139509999999962e-02 4.413564319999999716e+05
7.275668609999999537e-02 4.213368159999999916e+05
7.619733800000000334e-02 4.022220189999999711e+05
7.980069780000000057e-02 3.839712050000000163e+05
8.357445989999999492e-02 3.665453829999999725e+05
8.752668260000000255e-02 3.499073229999999749e+05
9.166580520000000565e-02 3.340214749999999767e+05
9.600066629999999546e-02 3.188538989999999758e+05
1.005405219999999933e-01 3.043721849999999977e+05
1.052950670000000061e-01 2.905453879999999772e+05
1.102744539999999940e-01 2.773439610000000102e+05
1.154893149999999952e-01 2.647396930000000284e+05
1.209507860000000046e-01 2.527073429999999935e+05
1.266705290000000039e-01 2.412178800000000047e+05
1.326607579999999897e-01 2.302483660000000091e+05
1.389342640000000018e-01 2.197753550000000105e+05
1.455044430000000111e-01 2.097764599999999919e+05
1.523853239999999887e-01 2.002303060000000114e+05
1.595916019999999991e-01 1.911164839999999967e+05
1.671386629999999929e-01 1.824155100000000093e+05
1.750426230000000083e-01 1.741087779999999912e+05
1.833203599999999878e-01 1.661785270000000019e+05
1.919895510000000083e-01 6.344311869999999908e+04
2.010687049999999865e-01 6.055215840000000026e+04
2.105772120000000136e-01 5.779273810000000231e+04
2.205353740000000062e-01 5.515818890000000101e+04
2.309644560000000124e-01 5.264324869999999646e+04
2.418867279999999953e-01 5.024193740000000253e+04
2.533255119999999749e-01 4.795028760000000329e+04
2.653052349999999726e-01 4.576282259999999951e+04
2.778514770000000134e-01 4.367485970000000088e+04
2.909910279999999849e-01 4.168192889999999898e+04
3.047519470000000230e-01 3.977976269999999931e+04
3.191636170000000106e-01 3.796428699999999662e+04
3.342568129999999860e-01 3.623161269999999786e+04
3.500637629999999723e-01 3.457802709999999934e+04
3.666182219999999936e-01 3.300049500000000262e+04
3.839555379999999851e-01 3.149463880000000063e+04
4.021127340000000272e-01 3.005771510000000126e+04
4.211285799999999746e-01 2.868629439999999886e+04
4.410436819999999924e-01 2.737811030000000028e+04
4.619005669999999841e-01 2.613002260000000024e+04
4.837437700000000174e-01 2.493892039999999906e+04
5.066199340000000495e-01 2.380308150000000023e+04
5.305779090000000142e-01 2.271965250000000015e+04
5.556688530000000181e-01 2.168630040000000008e+04
5.819463430000000326e-01 2.070079820000000109e+04
6.094664910000000546e-01 1.976167669999999998e+04
6.382880629999999611e-01 1.886562359999999899e+04
6.684726020000000268e-01 1.801132809999999881e+04
7.000845629999999931e-01 1.719662359999999899e+04
7.331914489999999951e-01 1.642036140000000159e+04
7.678639539999999597e-01 1.568055210000000079e+04
8.041761160000000519e-01 1.497558439999999973e+04
8.422054749999999812e-01 1.430396119999999974e+04
8.820332349999999710e-01 1.366412989999999991e+04
9.237444439999999979e-01 1.305472580000000016e+04
9.674281700000000317e-01 1.247414079999999922e+04
1.013177690000000020e+00 1.192181919999999991e+04
1.061090700000000053e+00 1.139610800000000017e+04
1.111269510000000071e+00 1.089557190000000082e+04
1.163821259999999969e+00 1.041931370000000061e+04
1.218858180000000013e+00 9.965846439999999347e+03
1.276497790000000077e+00 9.534945250000000669e+03
1.336863160000000050e+00 9.125440370000000257e+03
1.400083210000000022e+00 8.735793490000000020e+03
1.466292909999999949e+00 8.365836160000000746e+03
1.535633669999999951e+00 8.014359940000000279e+03
1.608253539999999981e+00 7.680198089999999866e+03
1.684307589999999966e+00 7.362844250000000102e+03
1.763958219999999910e+00 7.061875079999999798e+03
1.847375519999999938e+00 6.776223509999999806e+03
1.934737609999999997e+00 6.504891770000000179e+03
2.026231039999999872e+00 6.247645499999999629e+03
2.122051170000000209e+00 6.003511520000000019e+03
2.222402629999999935e+00 5.772387730000000374e+03
2.327499689999999788e+00 5.553031079999999747e+03
2.437566780000000044e+00 5.344837499999999636e+03
2.552838910000000183e+00 5.327165619999999763e+03
2.673562249999999807e+00 5.382303670000000238e+03
2.799994579999999900e+00 5.441870520000000397e+03
2.932405870000000192e+00 5.506202930000000379e+03
3.071078870000000016e+00 5.576370530000000144e+03
3.216309690000000110e+00 5.651731050000000323e+03
3.368408459999999938e+00 5.733719879999999648e+03
3.527699950000000140e+00 5.821963190000000395e+03
3.694524309999999812e+00 5.916925769999999829e+03
3.869237769999999799e+00 6.019656680000000051e+03
4.052213390000000359e+00 6.130707250000000386e+03
4.243841910000000439e+00 6.250092789999999695e+03
4.444532510000000158e+00 6.378730419999999867e+03
4.654713730000000105e+00 6.516987909999999829e+03
4.874834390000000184e+00 6.666204069999999774e+03
5.105364520000000184e+00 6.826849930000000313e+03
5.346796379999999793e+00 6.999753029999999853e+03
5.599645520000000154e+00 7.186141370000000279e+03
5.864451850000000022e+00 7.386267740000000231e+03
