#Michael Murillo MLM data, Jan 30, 2024
T[eV] 			  σe[S/cm]
6.141780830000000080e+00 7.601089649999999892e+03
6.432224650000000210e+00 7.832363849999999729e+03
6.736403509999999706e+00 8.081236469999999827e+03
7.054966949999999848e+00 8.347694929999999658e+03
7.388595190000000201e+00 8.634535159999999451e+03
7.738000659999999975e+00 8.941402149999999892e+03
8.103929459999999807e+00 9.271334210000000894e+03
8.487162969999999973e+00 9.624430490000000646e+03
8.888519540000000774e+00 1.000216769999999997e+04
9.308856190000000197e+00 1.040719030000000021e+04
9.749070489999999367e+00 1.084029989999999998e+04
1.021010249999999964e+01 1.130299749999999949e+04
1.069293659999999946e+01 1.179748120000000017e+04
1.119860380000000077e+01 1.232578369999999995e+04
1.172818400000000061e+01 1.288970069999999942e+04
1.228280789999999989e+01 1.349100560000000041e+04
1.286365990000000004e+01 1.413224259999999958e+04
1.347198030000000024e+01 1.481543970000000081e+04
1.410906800000000061e+01 1.554313409999999931e+04
1.477628359999999930e+01 1.631823580000000038e+04
1.547505160000000046e+01 1.714331090000000040e+04
1.620686429999999945e+01 1.802128129999999874e+04
1.697328429999999955e+01 1.895552430000000095e+04
1.777594819999999842e+01 1.994932939999999871e+04
1.861656989999999823e+01 2.100641310000000158e+04
1.949694450000000145e+01 2.213065880000000107e+04
2.041895179999999854e+01 2.332640490000000136e+04
2.138456079999999915e+01 2.459818100000000049e+04
2.239583319999999844e+01 2.595096649999999863e+04
2.345492850000000118e+01 2.739007110000000102e+04
2.456410830000000090e+01 2.892123259999999937e+04
2.572574099999999930e+01 3.055060699999999997e+04
2.694230710000000073e+01 3.228505069999999978e+04
2.821640449999999944e+01 3.413153119999999763e+04
2.955075370000000134e+01 3.609807259999999951e+04
3.094820400000000049e+01 3.819283140000000276e+04
3.241173959999999710e+01 4.042493220000000292e+04
3.394448549999999898e+01 4.280362320000000182e+04
3.554971479999999673e+01 4.533991589999999997e+04
3.723085499999999826e+01 4.804481440000000293e+04
3.899149609999999910e+01 5.092930040000000008e+04
4.083539770000000146e+01 5.400750970000000234e+04
4.276649700000000109e+01 5.729381210000000283e+04
4.478891769999999894e+01 6.080147170000000187e+04
4.690697839999999985e+01 6.454848279999999795e+04
4.912520179999999925e+01 6.855014459999999963e+04
5.144832470000000058e+01 7.282364019999999437e+04
5.388130759999999952e+01 7.738973070000000007e+04
5.642934600000000245e+01 8.227023649999999907e+04
5.909788060000000343e+01 8.748936849999999686e+04
6.189260980000000245e+01 9.307022289999999339e+04
6.481950129999999888e+01 9.903459729999999399e+04
6.788480509999999413e+01 1.054120760000000009e+05
7.109506650000000150e+01 1.122369980000000069e+05
7.445714069999999651e+01 1.195397400000000052e+05
7.797820690000000354e+01 1.273478910000000033e+05
8.166578359999999748e+01 1.357037280000000028e+05
8.552774530000000652e+01 1.446457440000000061e+05
8.957233859999999481e+01 1.542154869999999937e+05
9.380819999999999936e+01 1.644579130000000005e+05
9.824437460000000044e+01 1.754211909999999916e+05
1.028903349999999932e+02 1.871569340000000084e+05
1.077560019999999952e+02 1.997204459999999963e+05
1.128517659999999978e+02 2.131709899999999907e+05
1.181885079999999988e+02 2.275720650000000023e+05
1.237776240000000030e+02 2.429911840000000084e+05
1.296310469999999953e+02 2.595024249999999884e+05
1.357612790000000018e+02 2.771832689999999711e+05
1.421814080000000047e+02 2.961174500000000116e+05
1.489051430000000096e+02 3.163946930000000284e+05
1.559468430000000012e+02 3.381111510000000126e+05
1.633215439999999887e+02 3.613698609999999753e+05
1.710449940000000026e+02 3.862812449999999953e+05
1.791336839999999881e+02 4.129636319999999832e+05
1.876048869999999908e+02 4.415438350000000210e+05
1.964766920000000141e+02 4.721577509999999893e+05
2.057680430000000058e+02 5.049510179999999818e+05
2.154987800000000107e+02 5.400797149999999674e+05
2.256896830000000023e+02 5.777111090000000549e+05
2.363625110000000120e+02 6.180244570000000531e+05
2.475400559999999928e+02 6.612118699999999953e+05
2.592461850000000254e+02 7.074792340000000549e+05
2.715058950000000095e+02 7.570471959999999963e+05
2.843453650000000152e+02 8.101522299999999814e+05
2.977920119999999997e+02 8.670477639999999665e+05
3.118745480000000043e+02 9.280054050000000279e+05
3.266230449999999905e+02 9.933162369999999646e+05
3.420689960000000269e+02 1.063292719999999972e+06
3.582453830000000039e+02 1.129332949999999953e+06
3.751867490000000203e+02 1.184259100000000093e+06
3.929292699999999741e+02 1.242334439999999944e+06
4.115108319999999935e+02 1.303746270000000019e+06
4.309711120000000051e+02 1.368693409999999916e+06
4.513516660000000229e+02 1.437386949999999953e+06
4.726960139999999910e+02 1.510051000000000000e+06
4.950497320000000059e+02 1.586923669999999925e+06
5.184605530000000044e+02 1.668257439999999944e+06
5.429784690000000182e+02 1.754320830000000075e+06
5.686558330000000296e+02 1.845398899999999907e+06
5.955474749999999631e+02 1.941794439999999944e+06
6.237108190000000150e+02 2.043829040000000037e+06
6.532060030000000097e+02 2.151844379999999888e+06
6.840960089999999809e+02 2.266203399999999907e+06
7.164467990000000555e+02 2.387291740000000224e+06
7.503274519999999939e+02 2.515519129999999888e+06
7.858103159999999434e+02 2.651320930000000168e+06
8.229711589999999433e+02 2.795159799999999814e+06
8.618893309999999701e+02 2.947527379999999888e+06
9.026479389999999512e+02 3.108946180000000168e+06
9.453340140000000247e+02 3.279971560000000056e+06
9.900387060000000474e+02 3.461193790000000037e+06
1.036857479999999896e+03 3.653240310000000056e+06
1.085890300000000025e+03 3.856778100000000093e+06
1.137241880000000037e+03 4.072516220000000205e+06
1.191021860000000061e+03 4.301208490000000224e+06
1.247345090000000027e+03 4.543656379999999888e+06
1.306331840000000057e+03 4.800712070000000298e+06
1.368108060000000023e+03 5.073281669999999925e+06
1.432805669999999964e+03 5.362328740000000224e+06
1.500562820000000102e+03 5.668877950000000186e+06
1.571524190000000090e+03 5.994019009999999776e+06
1.645841310000000021e+03 6.338910889999999665e+06
1.723672880000000077e+03 6.704786259999999776e+06
1.805185099999999920e+03 7.092956259999999776e+06
1.890552010000000109e+03 7.504815530000000261e+06
1.979955909999999903e+03 7.941847669999999925e+06
2.073587700000000041e+03 8.405630900000000373e+06
2.171647329999999783e+03 8.897844259999999776e+06
2.274344180000000051e+03 9.420274089999999851e+06
2.381897550000000138e+03 9.974821009999999776e+06
2.494537100000000009e+03 1.056350730000000075e+07
2.612503349999999955e+03 1.118848469999999925e+07
2.736048209999999926e+03 1.185204309999999963e+07
2.865435489999999845e+03 1.255661919999999925e+07
3.000941470000000209e+03 1.330480600000000000e+07
3.142855509999999867e+03 1.409936350000000000e+07
3.291480640000000221e+03 1.494322880000000075e+07
3.447134219999999914e+03 1.583952819999999925e+07
3.610148639999999887e+03 1.679158930000000075e+07
3.780871990000000096e+03 1.780295410000000149e+07
3.959668810000000121e+03 1.887739310000000149e+07
4.146920909999999822e+03 2.001891989999999851e+07
4.343028129999999692e+03 2.123180760000000149e+07
4.548409230000000207e+03 2.252060500000000000e+07
4.763502760000000308e+03 2.389015560000000149e+07
4.988768039999999928e+03 2.534561569999999925e+07
5.224686069999999745e+03 2.689247589999999851e+07
5.471760629999999765e+03 2.853658219999999925e+07
5.730519309999999678e+03 3.028416000000000000e+07
6.001514640000000327e+03 3.214183819999999925e+07
6.285325289999999768e+03 3.411667600000000000e+07
6.582557310000000143e+03 3.621619139999999851e+07
6.893845379999999750e+03 3.844839070000000298e+07
7.219854210000000421e+03 4.082180089999999851e+07
7.561279950000000099e+03 4.334550400000000000e+07
7.918851660000000265e+03 4.602917310000000149e+07
8.293332870000000185e+03 4.888311179999999702e+07
8.685523240000000442e+03 5.191829510000000149e+07
9.096260229999999865e+03 5.514641360000000149e+07
9.526420899999999165e+03 5.857992110000000149e+07
9.976923810000000231e+03 6.223208439999999851e+07
1.044873090000000047e+04 6.611703710000000149e+07
1.094284970000000067e+04 7.024983670000000298e+07
1.146033530000000064e+04 7.464652529999999702e+07
1.200229269999999997e+04 7.932419490000000596e+07
1.256987919999999940e+04 8.430105640000000596e+07
1.316430669999999918e+04 8.959651379999999702e+07
1.378684469999999965e+04 9.523124250000000000e+07
1.443882229999999981e+04 1.012272740000000000e+08
1.512163190000000031e+04 1.076080850000000000e+08
1.583673140000000058e+04 1.143986930000000000e+08
1.658564789999999994e+04 1.216257590000000000e+08
1.736998050000000148e+04 1.293176960000000000e+08
1.819140409999999974e+04 1.375047830000000000e+08
1.905167260000000169e+04 1.462192910000000000e+08
1.995262310000000070e+04 1.554956170000000000e+08
