# Table from "Determination of the shear viscosity of the one-component plasma" [doi/10.1103/PhysRevE.90.033105](https://journals.aps.org/pre/pdf/10.1103/PhysRevE.90.033105)
# κ=2
Γ  η/(mna^2gωp)
2 0.8638 
12 0.1170 
32 0.0619 
42 0.0584 
52 0.05572
62 0.0562 
72 0.05882
82 0.0575 
92 0.0637 
102 0.0654 
112 0.0665 
122 0.0736 
132 0.0728 
142 0.0742
162 0.0840 
182 0.0906
202 0.0955 
222 0.1003 
242 0.1117
262 0.1170
282 0.1242
302 0.1296
322 0.1316
342 0.1426
362 0.1478
382 0.1550
402 0.1571
